Municipio,RF_2010,RF_2000,RF_1980
2502003,80,130,106
2502052,80,130,
2502102,80,130,105
2502151,75,128,
2502201,80,130,105
2502300,80,130,106
2502409,80,130,105
2502508,75,128,113
2502607,80,130,105
2502706,75,128,113
2502805,80,130,106
2502904,80,130,106
2503001,75,128,112
2503100,75,128,113
2503209,75,128,113
2503308,80,130,105
2503407,80,130,106
2503506,75,128,113
2503555,80,130,
2503605,75,128,113
2503704,80,130,105
2503753,80,130,
2503803,75,128,113
2503902,75,133,113
2504009,75,128,113
2504033,75,128,
2504074,79,133,
2504108,80,130,105
2504157,75,128,
2504207,80,130,106
2504306,80,130,106
2504355,75,128,
2504405,80,130,105
2504504,80,130,106
2504603,75,128,113
2504702,75,133,113
2504801,80,130,106
2504850,75,133,
2504900,75,128,113
2505006,75,128,113
2505105,75,128,106
2505204,75,128,113
2505238,75,128,
2505279,75,128,
2505303,80,130,105
2505352,75,128,
2505402,80,130,106
2505501,80,130,106
2505600,80,130,105
2505709,75,128,113
2505808,75,128,113
2505907,80,130,106
2506004,75,128,113
2506103,75,128,113
2506202,75,128,106
2506251,75,128,
2506301,75,128,113
2506400,75,128,113
2506509,75,128,113
2506608,80,130,105
2506707,80,130,106
2506806,75,128,113
2506905,75,128,113
2507002,80,130,105
2507101,75,128,113
2507200,75,128,113
2507309,75,128,107
2507408,80,130,106
2507507,75,128,113
2507606,75,128,113
2507705,75,128,106
2507804,75,128,106
2507903,79,133,112
2508000,80,130,105
2508109,80,130,106
2508208,75,128,113
2508307,75,128,113
2508406,80,130,106
2508505,75,128,106
2508554,75,128,
2508604,75,128,113
2508703,80,130,106
2508802,80,130,106
2508901,75,128,113
2509008,80,130,105
2509057,75,128,
2509107,75,128,113
2509156,80,130,
2509206,75,128,113
2509305,75,128,107
2509339,75,128,
2509370,80,130,
2509396,80,130,
2509404,75,128,113
2509503,75,128,113
2509602,80,130,105
2509701,75,130,113
2509800,75,128,113
2509909,79,133,112
2510006,80,130,105
2510105,75,128,106
2510204,80,130,105
2510303,75,128,106
2510402,80,130,106
2510501,75,128,113
2510600,75,128,113
2510659,75,128,
2510709,80,130,106
2510808,80,130,106
2510907,80,130,106
2511004,80,130,105
2511103,75,128,106
2511202,79,133,112
2511301,80,130,105
2511400,75,128,106
2511509,75,128,113
2511608,75,128,113
2511707,75,128,113
2511806,75,128,113
2511905,75,128,112
2512002,75,128,113
2512036,80,130,
2512077,80,130,
2512101,80,130,106
2512200,75,128,113
2512309,80,130,105
2512408,75,128,113
2512507,75,128,113
2512606,80,130,106
2512705,75,128,108
2512721,75,128,
2512747,75,128,
2512754,75,128,
2512762,75,128,
2512788,79,128,
2512804,80,130,106
2512903,75,128,113
2513000,75,128,106
2513109,75,133,113
2513158,79,133,
2513208,80,130,106
2513307,80,130,105
2513356,80,130,
2513406,80,130,106
2513505,80,130,105
2513604,80,130,105
2513653,80,130,
2513703,75,128,113
2513802,80,130,106
2513851,75,128,
2513901,80,130,106
2513927,80,130,
2513943,79,128,
2513968,80,130,
2513984,80,130,
2514008,75,128,113
2514107,79,133,114
2514206,80,130,106
2514305,80,130,105
2514404,80,130,106
2514453,75,128,
2514503,80,130,105
2514552,80,130,
2514602,80,130,106
2514651,80,130,
2514701,80,130,106
2514800,75,128,109
2514909,80,130,106
2515005,75,128,113
2515104,75,128,113
2515203,75,133,110
2515302,75,128,113
2515401,75,128,106
2515500,75,128,113
2515609,75,128,113
2515708,80,130,105
2515807,75,128,113
2515906,75,128,113
2515930,75,128,
2515971,75,128,
2516003,75,128,113
2516102,75,128,113
